,Date,Home Team,Home Score,Road Team,Road Score,Venue
80,2019-11-03T00:00:00.000Z,MEM,105,PHX,114,FedEx Forum
81,2019-11-03T00:00:00.000Z,WAS,109,MIN,131,Capital One Arena
82,2019-11-03T00:30:00.000Z,GSW,87,CHA,93,Chase Center
83,2019-11-03T02:00:00.000Z,POR,128,PHI,129,Moda Center
84,2019-11-03T22:00:00.000Z,IND,108,CHI,95,Bankers Life Fieldhouse
85,2019-11-03T23:00:00.000Z,NYK,92,SAC,113,Madison Square Garden
86,2019-11-03T23:00:00.000Z,MIA,129,HOU,100,American Airlines Arena
87,2019-11-04T00:00:00.000Z,SAS,96,LAL,103,AT&T Center
88,2019-11-04T00:30:00.000Z,CLE,111,DAL,131,Quicken Loans Arena
89,2019-11-04T02:00:00.000Z,LAC,105,UTA,94,Staples Center
90,2019-11-05T00:00:00.000Z,WAS,115,DET,99,Capital One Arena
91,2019-11-05T00:30:00.000Z,BRO,135,NOP,125,Barclays Center
92,2019-11-05T01:00:00.000Z,MIN,106,MIL,134,Target Center
93,2019-11-05T01:00:00.000Z,MEM,100,HOU,107,FedEx Forum
94,2019-11-05T02:00:00.000Z,PHX,114,PHI,109,Talking Stick Resort Arena
95,2019-11-05T03:30:00.000Z,GSW,127,POR,118,Chase Center
96,2019-11-06T00:00:00.000Z,CLE,113,BOS,119,Quicken Loans Arena
97,2019-11-06T00:00:00.000Z,CHA,122,IND,120,Spectrum Center
98,2019-11-06T00:30:00.000Z,ATL,108,SAS,100,State Farm Arena
99,2019-11-06T01:00:00.000Z,OKL,102,ORL,94,Chesapeake Energy Arena
100,2019-11-06T01:00:00.000Z,CHI,112,LAL,118,United Center
101,2019-11-06T02:00:00.000Z,DEN,109,MIA,89,Pepsi Center
102,2019-11-07T00:00:00.000Z,IND,121,WAS,106,Bankers Life Fieldhouse
103,2019-11-07T00:00:00.000Z,DET,122,NYK,102,Little Caesars Arena
104,2019-11-07T00:30:00.000Z,HOU,129,GSW,112,Toyota Center
105,2019-11-07T00:30:00.000Z,TOR,124,SAC,120,Scotiabank Arena
106,2019-11-07T00:30:00.000Z,ATL,93,CHI,113,State Farm Arena
107,2019-11-07T01:00:00.000Z,MEM,137,MIN,121,FedEx Forum
108,2019-11-07T01:30:00.000Z,DAL,107,ORL,106,American Airlines Center
109,2019-11-07T02:00:00.000Z,UTA,106,PHI,104,Vivint Smart Home Arena
110,2019-11-07T03:00:00.000Z,LAC,124,MIL,129,Staples Center
111,2019-11-08T01:00:00.000Z,CHA,87,BOS,108,Spectrum Center
112,2019-11-08T01:30:00.000Z,SAS,121,OKL,112,AT&T Center
113,2019-11-08T02:00:00.000Z,PHX,108,MIA,124,Talking Stick Resort Arena
114,2019-11-08T03:30:00.000Z,LAC,107,POR,101,Staples Center
115,2019-11-09T00:00:00.000Z,WAS,100,CLE,113,Capital One Arena
116,2019-11-09T00:00:00.000Z,ORL,118,MEM,86,Amway Center
117,2019-11-09T00:00:00.000Z,IND,112,DET,106,Bankers Life Fieldhouse
118,2019-11-09T00:30:00.000Z,ATL,109,SAC,121,State Farm Arena
119,2019-11-09T01:00:00.000Z,NOP,104,TOR,122,Smoothie King Center
120,2019-11-09T01:00:00.000Z,MIN,125,GSW,119,Target Center
121,2019-11-09T01:30:00.000Z,DAL,102,NYK,106,American Airlines Center
122,2019-11-09T02:00:00.000Z,UTA,103,MIL,100,Vivint Smart Home Arena
123,2019-11-09T02:00:00.000Z,DEN,100,PHI,97,Pepsi Center
124,2019-11-09T03:00:00.000Z,POR,115,BRO,119,Moda Center
125,2019-11-09T03:30:00.000Z,LAL,95,MIA,80,Staples Center
126,2019-11-09T22:00:00.000Z,SAS,115,BOS,135,AT&T Center
127,2019-11-10T00:00:00.000Z,CHA,110,NOP,115,Spectrum Center
128,2019-11-10T01:00:00.000Z,OKL,114,GSW,108,Chesapeake Energy Arena
129,2019-11-10T01:00:00.000Z,MEM,122,DAL,138,FedEx Forum
130,2019-11-10T01:00:00.000Z,CHI,94,HOU,117,United Center
131,2019-11-10T20:30:00.000Z,MIN,98,DEN,100,Target Center
132,2019-11-10T23:00:00.000Z,PHI,114,CHA,106,Wells Fargo Center
133,2019-11-10T23:00:00.000Z,ORL,102,IND,109,Amway Center
134,2019-11-11T00:00:00.000Z,OKL,119,MIL,121,Chesapeake Energy Arena
135,2019-11-11T00:30:00.000Z,NYK,87,CLE,108,Madison Square Garden
136,2019-11-11T01:00:00.000Z,PHX,138,BRO,112,Talking Stick Resort Arena
137,2019-11-11T02:00:00.000Z,POR,124,ATL,113,Moda Center
138,2019-11-11T02:30:00.000Z,LAL,104,TOR,113,Staples Center
139,2019-11-12T00:00:00.000Z,DET,114,MIN,120,Little Caesars Arena
140,2019-11-12T00:30:00.000Z,SAS,109,MEM,113,AT&T Center
141,2019-11-12T00:30:00.000Z,BOS,116,DAL,106,TD Garden
142,2019-11-12T01:00:00.000Z,NOP,116,HOU,122,Smoothie King Center
143,2019-11-12T03:30:00.000Z,LAC,98,TOR,88,Staples Center
144,2019-11-12T03:30:00.000Z,GSW,108,UTA,122,Chase Center
145,2019-11-13T00:00:00.000Z,PHI,98,CLE,97,Wells Fargo Center
146,2019-11-13T00:00:00.000Z,IND,111,OKL,85,Bankers Life Fieldhouse
147,2019-11-13T00:30:00.000Z,MIA,117,DET,108,American Airlines Arena
148,2019-11-13T01:00:00.000Z,CHI,120,NYK,102,United Center
149,2019-11-13T02:00:00.000Z,UTA,119,BRO,114,Vivint Smart Home Arena
150,2019-11-13T02:00:00.000Z,PHX,115,LAL,123,Talking Stick Resort Arena
151,2019-11-13T02:00:00.000Z,DEN,121,ATL,125,Pepsi Center
152,2019-11-13T03:00:00.000Z,SAC,107,POR,99,Golden 1 Center
153,2019-11-14T00:00:00.000Z,ORL,112,PHI,97,Amway Center
154,2019-11-14T00:00:00.000Z,CHA,117,MEM,119,Spectrum Center
155,2019-11-14T00:30:00.000Z,HOU,102,LAC,93,Toyota Center
156,2019-11-14T00:30:00.000Z,BOS,140,WAS,133,TD Garden
157,2019-11-14T01:00:00.000Z,MIN,129,SAS,114,Target Center
158,2019-11-14T03:00:00.000Z,POR,106,TOR,114,Moda Center
159,2019-11-14T03:00:00.000Z,LAL,120,GSW,94,Staples Center
160,2019-11-14T23:00:00.000Z,CLE,97,MIA,108,Quicken Loans Arena
161,2019-11-15T01:00:00.000Z,NOP,132,LAC,127,Smoothie King Center
162,2019-11-15T01:00:00.000Z,MIL,124,CHI,115,Fiserv Forum
163,2019-11-15T01:00:00.000Z,NYK,106,DAL,103,Madison Square Garden
164,2019-11-15T02:00:00.000Z,PHX,128,ATL,112,Talking Stick Resort Arena
165,2019-11-15T03:30:00.000Z,DEN,101,BRO,93,Pepsi Center
166,2019-11-16T00:00:00.000Z,ORL,111,SAS,109,Amway Center
167,2019-11-16T00:00:00.000Z,CHA,109,DET,106,Spectrum Center
168,2019-11-16T01:00:00.000Z,OKL,127,PHI,119,Chesapeake Energy Arena
169,2019-11-16T01:00:00.000Z,MIN,116,WAS,137,Target Center
170,2019-11-16T01:00:00.000Z,MEM,107,UTA,106,FedEx Forum
171,2019-11-16T01:00:00.000Z,HOU,111,IND,102,Toyota Center
172,2019-11-16T03:30:00.000Z,LAL,99,SAC,97,Staples Center
173,2019-11-16T03:30:00.000Z,GSW,100,BOS,105,Chase Center
174,2019-11-16T23:00:00.000Z,CHI,111,BRO,117,United Center
175,2019-11-17T00:00:00.000Z,IND,83,MIL,102,Bankers Life Fieldhouse
176,2019-11-17T00:30:00.000Z,NYK,102,CHA,103,Madison Square Garden
