,Date,Home Team,Home Score,Road Team,Road Score,Venue
0,2018-10-17T00:00:00.000Z,BOS,105,PHI,87,TD Garden
1,2018-10-17T02:30:00.000Z,GSW,108,OKL,100,Oracle Arena
2,2018-10-17T23:00:00.000Z,CHA,112,MIL,113,Spectrum Center
3,2018-10-17T23:00:00.000Z,DET,103,BRO,100,Little Caesars Arena
4,2018-10-17T23:00:00.000Z,IND,111,MEM,83,Bankers Life Fieldhouse
5,2018-10-17T23:00:00.000Z,ORL,104,MIA,101,Amway Center
6,2018-10-17T23:30:00.000Z,NYK,126,ATL,107,Madison Square Garden
7,2018-10-17T23:30:00.000Z,TOR,116,CLE,104,Scotiabank Arena
8,2018-10-18T00:00:00.000Z,HOU,112,NOP,131,Toyota Center
9,2018-10-18T00:30:00.000Z,SAS,112,MIN,108,AT&T Center
10,2018-10-18T02:00:00.000Z,SAC,117,UTA,123,Golden 1 Center
11,2018-10-18T02:30:00.000Z,LAC,98,DEN,107,Staples Center
12,2018-10-18T02:30:00.000Z,PHX,121,DAL,100,Talking Stick Resort Arena
13,2018-10-19T00:00:00.000Z,PHI,127,CHI,108,Wells Fargo Center
14,2018-10-19T00:00:00.000Z,WAS,112,MIA,113,Capital One Arena
15,2018-10-19T02:30:00.000Z,POR,128,LAL,119,Moda Center
16,2018-10-19T23:00:00.000Z,ORL,88,CHA,120,Amway Center
17,2018-10-19T23:30:00.000Z,BRO,107,NYK,105,Barclays Center
18,2018-10-20T00:00:00.000Z,TOR,113,BOS,101,Scotiabank Arena
19,2018-10-20T00:00:00.000Z,MEM,131,ATL,117,FedEx Forum
20,2018-10-20T00:00:00.000Z,MIN,131,CLE,123,Target Center
21,2018-10-20T00:00:00.000Z,NOP,149,SAC,129,Smoothie King Center
22,2018-10-20T00:30:00.000Z,MIL,118,IND,101,Fiserv Forum
23,2018-10-20T02:30:00.000Z,UTA,123,GSW,124,Vivint Smart Home Arena
24,2018-10-20T02:30:00.000Z,LAC,108,OKL,92,Staples Center
25,2018-10-20T23:00:00.000Z,IND,132,BRO,112,Bankers Life Fieldhouse
26,2018-10-20T23:00:00.000Z,WAS,113,TOR,117,Capital One Arena
27,2018-10-20T23:30:00.000Z,NYK,101,BOS,103,Madison Square Garden
28,2018-10-20T23:30:00.000Z,PHI,116,ORL,115,Wells Fargo Center
29,2018-10-21T00:00:00.000Z,MIA,112,CHA,113,American Airlines Arena
30,2018-10-21T00:00:00.000Z,CHI,116,DET,118,United Center
31,2018-10-21T00:30:00.000Z,DAL,140,MIN,136,American Airlines Center
32,2018-10-21T01:00:00.000Z,DEN,119,PHX,91,Pepsi Center
33,2018-10-21T02:00:00.000Z,POR,121,SAS,108,Moda Center
34,2018-10-21T02:30:00.000Z,LAL,115,HOU,124,Staples Center
35,2018-10-21T22:00:00.000Z,CLE,111,ATL,133,Quicken Loans Arena
36,2018-10-21T23:00:00.000Z,OKL,120,SAC,131,Chesapeake Energy Arena
37,2018-10-22T00:00:00.000Z,DEN,100,GSW,98,Pepsi Center
38,2018-10-22T01:00:00.000Z,LAC,115,HOU,112,Staples Center
39,2018-10-22T23:30:00.000Z,BOS,90,ORL,93,TD Garden
40,2018-10-22T23:30:00.000Z,TOR,127,CHA,106,Scotiabank Arena
41,2018-10-23T00:00:00.000Z,MIL,124,NYK,113,Fiserv Forum
42,2018-10-23T00:00:00.000Z,MIN,101,IND,91,Target Center
43,2018-10-23T00:30:00.000Z,DAL,115,CHI,109,American Airlines Center
44,2018-10-23T01:00:00.000Z,UTA,84,MEM,92,Vivint Smart Home Arena
45,2018-10-23T02:00:00.000Z,POR,124,WAS,125,Moda Center
46,2018-10-23T02:30:00.000Z,GSW,123,PHX,103,Oracle Arena
47,2018-10-23T02:30:00.000Z,LAL,142,SAS,143,Staples Center
48,2018-10-23T23:00:00.000Z,DET,133,PHI,132,Little Caesars Arena
49,2018-10-24T00:00:00.000Z,NOP,116,LAC,109,Smoothie King Center
50,2018-10-24T01:00:00.000Z,DEN,126,SAC,112,Pepsi Center
51,2018-10-24T23:00:00.000Z,ATL,111,DAL,104,State Farm Arena
52,2018-10-24T23:00:00.000Z,CLE,86,BRO,102,Quicken Loans Arena
53,2018-10-24T23:30:00.000Z,MIA,110,NYK,87,American Airlines Arena
54,2018-10-24T23:30:00.000Z,TOR,112,MIN,105,Scotiabank Arena
55,2018-10-25T00:00:00.000Z,CHI,112,CHA,110,United Center
56,2018-10-25T00:00:00.000Z,HOU,89,UTA,100,Toyota Center
57,2018-10-25T00:30:00.000Z,SAS,96,IND,116,AT&T Center
58,2018-10-25T01:30:00.000Z,MIL,123,PHI,108,Fiserv Forum
59,2018-10-25T02:00:00.000Z,PHX,113,LAL,131,Talking Stick Resort Arena
60,2018-10-25T02:00:00.000Z,SAC,97,MEM,92,Golden 1 Center
61,2018-10-25T02:30:00.000Z,GSW,144,WAS,122,Oracle Arena
62,2018-10-25T23:00:00.000Z,DET,110,CLE,103,Little Caesars Arena
63,2018-10-25T23:00:00.000Z,ORL,114,POR,128,Amway Center
64,2018-10-26T00:00:00.000Z,OKL,95,BOS,101,Chesapeake Energy Arena
65,2018-10-26T02:30:00.000Z,LAL,121,DEN,114,Staples Center
66,2018-10-26T23:00:00.000Z,CHA,135,CHI,106,Spectrum Center
67,2018-10-26T23:30:00.000Z,NYK,100,GSW,128,Madison Square Garden
68,2018-10-26T23:30:00.000Z,TOR,116,DAL,107,Scotiabank Arena
69,2018-10-27T00:00:00.000Z,HOU,113,LAC,133,Toyota Center
70,2018-10-27T00:00:00.000Z,MIN,95,MIL,125,Target Center
71,2018-10-27T00:00:00.000Z,NOP,117,BRO,115,Smoothie King Center
72,2018-10-27T02:00:00.000Z,SAC,116,WAS,112,Golden 1 Center
73,2018-10-27T23:00:00.000Z,DET,89,BOS,109,Little Caesars Arena
74,2018-10-27T23:00:00.000Z,NOP,111,UTA,132,Smoothie King Center
75,2018-10-27T23:30:00.000Z,ATL,85,CHI,97,State Farm Arena
76,2018-10-27T23:30:00.000Z,CLE,107,IND,119,Quicken Loans Arena
77,2018-10-27T23:30:00.000Z,PHI,105,CHA,103,Wells Fargo Center
78,2018-10-28T00:00:00.000Z,MIA,120,POR,111,American Airlines Arena
79,2018-10-28T00:00:00.000Z,MEM,117,PHX,96,FedEx Forum
80,2018-10-28T00:30:00.000Z,MIL,113,ORL,91,Fiserv Forum
81,2018-10-28T00:30:00.000Z,SAS,110,LAL,106,AT&T Center
82,2018-10-28T21:00:00.000Z,BRO,114,GSW,120,Barclays Center
83,2018-10-28T23:00:00.000Z,DAL,104,UTA,113,American Airlines Center
84,2018-10-28T23:00:00.000Z,OKL,117,PHX,110,Chesapeake Energy Arena
85,2018-10-29T01:30:00.000Z,LAC,136,WAS,104,Staples Center
86,2018-10-29T23:00:00.000Z,IND,93,POR,103,Bankers Life Fieldhouse
87,2018-10-29T23:00:00.000Z,PHI,113,ATL,92,Wells Fargo Center
88,2018-10-29T23:30:00.000Z,MIA,113,SAC,123,American Airlines Arena
89,2018-10-29T23:30:00.000Z,NYK,115,BRO,96,Madison Square Garden
90,2018-10-30T00:00:00.000Z,CHI,124,GSW,149,United Center
91,2018-10-30T00:00:00.000Z,MIL,124,TOR,109,Fiserv Forum
92,2018-10-30T00:00:00.000Z,MIN,124,LAL,120,Target Center
93,2018-10-30T00:30:00.000Z,SAS,113,DAL,108,AT&T Center
94,2018-10-30T01:00:00.000Z,DEN,116,NOP,111,Pepsi Center
95,2018-10-30T23:00:00.000Z,CHA,125,MIA,113,Spectrum Center
96,2018-10-30T23:00:00.000Z,CLE,136,ATL,114,Quicken Loans Arena
97,2018-10-30T23:00:00.000Z,ORL,99,SAC,107,Amway Center
98,2018-10-30T23:30:00.000Z,BOS,108,DET,105,TD Garden
99,2018-10-30T23:30:00.000Z,TOR,129,PHI,112,Scotiabank Arena
100,2018-10-31T00:00:00.000Z,HOU,85,POR,104,Toyota Center
101,2018-10-31T00:00:00.000Z,MEM,107,WAS,95,FedEx Forum
102,2018-10-31T00:00:00.000Z,OKL,128,LAC,110,Chesapeake Energy Arena
103,2018-10-31T23:30:00.000Z,BRO,120,DET,119,Barclays Center
104,2018-11-01T00:00:00.000Z,NYK,101,IND,107,Madison Square Garden
105,2018-11-01T00:00:00.000Z,CHI,107,DEN,108,United Center
106,2018-11-01T00:00:00.000Z,MIN,128,UTA,125,Target Center
107,2018-11-01T02:30:00.000Z,GSW,131,NOP,121,Oracle Arena
108,2018-11-01T02:30:00.000Z,LAL,114,DAL,113,Staples Center
109,2018-11-01T02:30:00.000Z,PHX,90,SAS,120,Talking Stick Resort Arena
110,2018-11-01T23:00:00.000Z,CHA,107,OKL,111,Spectrum Center
111,2018-11-01T23:00:00.000Z,CLE,91,DEN,110,Quicken Loans Arena
112,2018-11-01T23:00:00.000Z,PHI,122,LAC,113,Wells Fargo Center
113,2018-11-01T23:30:00.000Z,ATL,115,SAC,146,State Farm Arena
114,2018-11-02T00:00:00.000Z,BOS,117,MIL,113,TD Garden
115,2018-11-02T02:30:00.000Z,POR,132,NOP,119,Moda Center
116,2018-11-02T23:00:00.000Z,ORL,95,LAC,120,Amway Center
117,2018-11-02T23:30:00.000Z,BRO,111,HOU,119,Barclays Center
118,2018-11-03T00:00:00.000Z,WAS,111,OKL,134,Capital One Arena
119,2018-11-03T00:00:00.000Z,CHI,105,IND,107,United Center
120,2018-11-03T00:30:00.000Z,DAL,106,NYK,118,American Airlines Center
121,2018-11-03T01:00:00.000Z,UTA,100,MEM,110,Vivint Smart Home Arena
122,2018-11-03T02:00:00.000Z,PHX,98,TOR,107,Talking Stick Resort Arena
123,2018-11-03T02:30:00.000Z,GSW,116,MIN,99,Oracle Arena
124,2018-11-03T17:00:00.000Z,PHI,109,DET,99,Wells Fargo Center
125,2018-11-03T23:00:00.000Z,CHA,126,CLE,94,Spectrum Center
126,2018-11-03T23:00:00.000Z,IND,102,BOS,101,Bankers Life Fieldhouse
127,2018-11-03T23:30:00.000Z,ATL,123,MIA,118,State Farm Arena
128,2018-11-04T00:00:00.000Z,CHI,88,HOU,96,United Center
129,2018-11-04T00:30:00.000Z,SAS,109,NOP,95,AT&T Center
130,2018-11-04T01:00:00.000Z,DEN,103,UTA,88,Pepsi Center
131,2018-11-04T02:00:00.000Z,POR,110,LAL,114,Moda Center
132,2018-11-04T20:30:00.000Z,MIL,144,SAC,109,Fiserv Forum
133,2018-11-04T23:00:00.000Z,BRO,122,PHI,97,Barclays Center
134,2018-11-04T23:00:00.000Z,WAS,108,NYK,95,Capital One Arena
135,2018-11-05T00:00:00.000Z,SAS,110,ORL,117,AT&T Center
136,2018-11-05T01:00:00.000Z,PHX,102,MEM,100,Talking Stick Resort Arena
137,2018-11-05T02:00:00.000Z,POR,111,MIN,81,Moda Center
138,2018-11-05T02:30:00.000Z,LAL,107,TOR,121,Staples Center
139,2018-11-06T00:00:00.000Z,DET,115,MIA,120,Little Caesars Arena
140,2018-11-06T00:00:00.000Z,IND,94,HOU,98,Bankers Life Fieldhouse
141,2018-11-06T00:00:00.000Z,ORL,102,CLE,100,Amway Center
142,2018-11-06T00:30:00.000Z,NYK,115,CHI,116,Madison Square Garden
143,2018-11-06T01:00:00.000Z,OKL,122,NOP,116,Chesapeake Energy Arena
144,2018-11-06T02:00:00.000Z,DEN,115,BOS,107,Pepsi Center
145,2018-11-06T02:00:00.000Z,UTA,111,TOR,124,Vivint Smart Home Arena
146,2018-11-06T03:30:00.000Z,GSW,117,MEM,101,Oracle Arena
147,2018-11-06T03:30:00.000Z,LAC,120,MIN,109,Staples Center
148,2018-11-07T00:00:00.000Z,CHA,113,ATL,102,Spectrum Center
149,2018-11-07T01:30:00.000Z,DAL,119,WAS,100,American Airlines Center
150,2018-11-07T02:00:00.000Z,PHX,82,BRO,104,Talking Stick Resort Arena
151,2018-11-07T03:00:00.000Z,POR,118,MIL,103,Moda Center
152,2018-11-08T00:00:00.000Z,CLE,86,OKL,95,Quicken Loans Arena
153,2018-11-08T00:00:00.000Z,ORL,96,DET,103,Amway Center
154,2018-11-08T00:30:00.000Z,ATL,107,NYK,112,State Farm Arena
155,2018-11-08T00:30:00.000Z,MIA,95,SAS,88,American Airlines Arena
156,2018-11-08T01:00:00.000Z,IND,94,PHI,100,Bankers Life Fieldhouse
157,2018-11-08T01:00:00.000Z,MEM,89,DEN,87,FedEx Forum
158,2018-11-08T01:00:00.000Z,NOP,107,CHI,98,Smoothie King Center
159,2018-11-08T02:00:00.000Z,UTA,117,DAL,102,Vivint Smart Home Arena
160,2018-11-08T03:00:00.000Z,SAC,105,TOR,114,Golden 1 Center
161,2018-11-08T03:30:00.000Z,LAL,114,MIN,110,Staples Center
162,2018-11-09T01:00:00.000Z,OKL,98,HOU,80,Chesapeake Energy Arena
163,2018-11-09T02:00:00.000Z,PHX,109,BOS,116,Talking Stick Resort Arena
164,2018-11-09T03:00:00.000Z,POR,116,LAC,105,Moda Center
165,2018-11-09T03:30:00.000Z,GSW,111,MIL,134,Oracle Arena
166,2018-11-10T00:00:00.000Z,ORL,117,WAS,108,Amway Center
167,2018-11-10T00:00:00.000Z,PHI,133,CHA,132,Wells Fargo Center
168,2018-11-10T00:30:00.000Z,ATL,109,DET,124,State Farm Arena
169,2018-11-10T01:00:00.000Z,MIA,102,IND,110,American Airlines Arena
170,2018-11-10T02:00:00.000Z,DEN,110,BRO,112,Pepsi Center
171,2018-11-10T02:30:00.000Z,UTA,123,BOS,115,Vivint Smart Home Arena
172,2018-11-10T03:00:00.000Z,SAC,121,MIN,110,Golden 1 Center
173,2018-11-10T20:00:00.000Z,TOR,128,NYK,112,Scotiabank Arena
174,2018-11-10T20:30:00.000Z,LAC,128,MIL,126,Staples Center
175,2018-11-11T00:00:00.000Z,NOP,119,PHX,99,Smoothie King Center
176,2018-11-11T01:00:00.000Z,MIA,110,WAS,116,American Airlines Arena
177,2018-11-11T01:00:00.000Z,CHI,99,CLE,98,United Center
178,2018-11-11T01:00:00.000Z,MEM,112,PHI,106,FedEx Forum
179,2018-11-11T01:30:00.000Z,SAS,96,HOU,89,AT&T Center
180,2018-11-11T01:30:00.000Z,GSW,116,BRO,100,Oracle Arena
181,2018-11-11T02:00:00.000Z,DAL,111,OKL,96,American Airlines Center
182,2018-11-11T03:00:00.000Z,SAC,86,LAL,101,Golden 1 Center
183,2018-11-11T20:30:00.000Z,DET,103,CHA,113,Little Caesars Arena
184,2018-11-12T00:00:00.000Z,HOU,115,IND,103,Toyota Center
