,Date,Home Team,Home Score,Road Team,Road Score,Venue
185,2018-11-12T00:30:00.000Z,NYK,89,ORL,115,Madison Square Garden
186,2018-11-12T01:00:00.000Z,DEN,114,MIL,121,Pepsi Center
187,2018-11-12T02:00:00.000Z,POR,100,BOS,94,Moda Center
188,2018-11-12T02:30:00.000Z,LAL,107,ATL,106,Staples Center
189,2018-11-13T00:00:00.000Z,WAS,117,ORL,109,Capital One Arena
190,2018-11-13T00:30:00.000Z,MIA,114,PHI,124,American Airlines Arena
191,2018-11-13T00:30:00.000Z,TOR,110,NOP,126,Scotiabank Arena
192,2018-11-13T01:00:00.000Z,CHI,98,DAL,103,United Center
193,2018-11-13T01:00:00.000Z,MEM,88,UTA,96,FedEx Forum
194,2018-11-13T01:00:00.000Z,MIN,120,BRO,113,Target Center
195,2018-11-13T01:00:00.000Z,OKL,118,PHX,101,Chesapeake Energy Arena
196,2018-11-13T03:00:00.000Z,SAC,104,SAS,99,Golden 1 Center
197,2018-11-13T03:30:00.000Z,LAC,121,GSW,116,Staples Center
198,2018-11-14T00:00:00.000Z,CLE,113,CHA,89,Quicken Loans Arena
199,2018-11-14T02:00:00.000Z,DEN,99,HOU,109,Pepsi Center
200,2018-11-14T03:30:00.000Z,GSW,110,ATL,103,Oracle Arena
201,2018-11-15T00:00:00.000Z,ORL,111,PHI,106,Amway Center
202,2018-11-15T00:00:00.000Z,WAS,119,CLE,95,Capital One Arena
203,2018-11-15T00:30:00.000Z,BOS,111,CHI,82,TD Garden
204,2018-11-15T00:30:00.000Z,BRO,107,MIA,120,Barclays Center
205,2018-11-15T00:30:00.000Z,TOR,104,DET,106,Scotiabank Arena
206,2018-11-15T01:00:00.000Z,MIL,113,MEM,116,Fiserv Forum
207,2018-11-15T01:00:00.000Z,MIN,107,NOP,100,Target Center
208,2018-11-15T01:00:00.000Z,OKL,128,NYK,103,Chesapeake Energy Arena
209,2018-11-15T01:30:00.000Z,DAL,118,UTA,68,American Airlines Center
210,2018-11-15T02:00:00.000Z,PHX,116,SAS,96,Talking Stick Resort Arena
211,2018-11-15T03:30:00.000Z,LAL,126,POR,117,Staples Center
212,2018-11-16T01:00:00.000Z,HOU,107,GSW,86,Toyota Center
213,2018-11-16T02:00:00.000Z,DEN,138,ATL,93,Pepsi Center
214,2018-11-16T03:30:00.000Z,LAC,116,SAS,111,Staples Center
215,2018-11-17T00:00:00.000Z,BOS,123,TOR,116,TD Garden
216,2018-11-17T00:00:00.000Z,IND,99,MIA,91,Bankers Life Fieldhouse
217,2018-11-17T00:00:00.000Z,PHI,113,UTA,107,Wells Fargo Center
218,2018-11-17T00:00:00.000Z,WAS,104,BRO,115,Capital One Arena
219,2018-11-17T01:00:00.000Z,MEM,112,SAC,104,FedEx Forum
220,2018-11-17T01:00:00.000Z,MIN,112,POR,96,Target Center
221,2018-11-17T01:00:00.000Z,NOP,129,NYK,124,Smoothie King Center
222,2018-11-17T02:30:00.000Z,MIL,123,CHI,104,Fiserv Forum
223,2018-11-17T23:00:00.000Z,BRO,119,LAC,127,Barclays Center
224,2018-11-18T00:00:00.000Z,CHA,119,PHI,122,Spectrum Center
225,2018-11-18T00:00:00.000Z,IND,97,ATL,89,Bankers Life Fieldhouse
226,2018-11-18T00:00:00.000Z,ORL,130,LAL,117,Amway Center
227,2018-11-18T00:00:00.000Z,NOP,125,DEN,115,Smoothie King Center
228,2018-11-18T00:30:00.000Z,BOS,86,UTA,98,TD Garden
229,2018-11-18T01:00:00.000Z,CHI,83,TOR,122,United Center
230,2018-11-18T01:00:00.000Z,HOU,132,SAC,112,Toyota Center
231,2018-11-18T01:30:00.000Z,DAL,112,GSW,109,American Airlines Center
232,2018-11-18T02:00:00.000Z,PHX,100,OKL,110,Talking Stick Resort Arena
233,2018-11-18T20:30:00.000Z,MIN,87,MEM,100,Target Center
234,2018-11-18T23:00:00.000Z,MIA,97,LAL,113,American Airlines Arena
235,2018-11-18T23:00:00.000Z,ORL,131,NYK,117,Amway Center
236,2018-11-18T23:00:00.000Z,WAS,109,POR,119,Capital One Arena
237,2018-11-19T00:00:00.000Z,SAS,104,GSW,92,AT&T Center
238,2018-11-20T00:00:00.000Z,CHA,117,BOS,112,Spectrum Center
239,2018-11-20T00:00:00.000Z,DET,113,CLE,102,Little Caesars Arena
240,2018-11-20T00:00:00.000Z,IND,121,UTA,94,Bankers Life Fieldhouse
241,2018-11-20T00:00:00.000Z,PHI,119,PHX,114,Wells Fargo Center
242,2018-11-20T00:30:00.000Z,ATL,119,LAC,127,State Farm Arena
243,2018-11-20T01:00:00.000Z,MEM,98,DAL,88,FedEx Forum
244,2018-11-20T01:00:00.000Z,MIL,104,DEN,98,Fiserv Forum
245,2018-11-20T01:00:00.000Z,NOP,140,SAS,126,Smoothie King Center
246,2018-11-20T03:00:00.000Z,SAC,117,OKL,113,Golden 1 Center
247,2018-11-21T00:00:00.000Z,ORL,91,TOR,93,Amway Center
248,2018-11-21T00:00:00.000Z,WAS,125,LAC,118,Capital One Arena
249,2018-11-21T00:30:00.000Z,MIA,92,BRO,104,American Airlines Arena
250,2018-11-21T00:30:00.000Z,NYK,114,POR,118,Madison Square Garden
251,2018-11-22T00:00:00.000Z,CHA,127,IND,109,Spectrum Center
252,2018-11-22T00:00:00.000Z,PHI,121,NOP,120,Wells Fargo Center
253,2018-11-22T00:30:00.000Z,ATL,108,TOR,124,State Farm Arena
254,2018-11-22T00:30:00.000Z,BOS,109,NYK,117,TD Garden
255,2018-11-22T01:00:00.000Z,CLE,105,LAL,109,Quicken Loans Arena
256,2018-11-22T01:00:00.000Z,CHI,124,PHX,116,United Center
257,2018-11-22T01:00:00.000Z,HOU,126,DET,124,Toyota Center
258,2018-11-22T01:00:00.000Z,MIL,143,POR,100,Fiserv Forum
259,2018-11-22T01:00:00.000Z,MIN,101,DEN,103,Target Center
260,2018-11-22T01:30:00.000Z,DAL,119,BRO,113,American Airlines Center
261,2018-11-22T01:30:00.000Z,SAS,103,MEM,104,AT&T Center
262,2018-11-22T02:00:00.000Z,UTA,110,SAC,119,Vivint Smart Home Arena
263,2018-11-22T03:30:00.000Z,GSW,95,OKL,123,Oracle Arena
264,2018-11-23T17:00:00.000Z,BRO,102,MIN,112,Barclays Center
265,2018-11-23T20:30:00.000Z,LAC,112,MEM,107,Staples Center
266,2018-11-24T00:00:00.000Z,DET,116,HOU,111,Little Caesars Arena
267,2018-11-24T00:30:00.000Z,ATL,96,BOS,114,State Farm Arena
268,2018-11-24T00:30:00.000Z,NYK,114,NOP,109,Madison Square Garden
269,2018-11-24T00:30:00.000Z,PHI,112,CLE,121,Wells Fargo Center
270,2018-11-24T00:30:00.000Z,TOR,125,WAS,107,Scotiabank Arena
271,2018-11-24T01:00:00.000Z,IND,100,SAS,111,Bankers Life Fieldhouse
272,2018-11-24T01:00:00.000Z,CHI,96,MIA,103,United Center
273,2018-11-24T01:00:00.000Z,OKL,109,CHA,104,Chesapeake Energy Arena
274,2018-11-24T01:30:00.000Z,MIL,114,PHX,116,Fiserv Forum
275,2018-11-24T02:00:00.000Z,DEN,112,ORL,87,Pepsi Center
276,2018-11-24T03:30:00.000Z,GSW,125,POR,97,Oracle Arena
277,2018-11-24T03:30:00.000Z,LAL,90,UTA,83,Staples Center
278,2018-11-25T00:30:00.000Z,CLE,117,HOU,108,Quicken Loans Arena
279,2018-11-25T01:00:00.000Z,WAS,124,NOP,114,Capital One Arena
280,2018-11-25T01:00:00.000Z,MIN,111,CHI,96,Target Center
281,2018-11-25T01:00:00.000Z,OKL,98,DEN,105,Chesapeake Energy Arena
282,2018-11-25T01:30:00.000Z,DAL,113,BOS,104,American Airlines Center
283,2018-11-25T01:30:00.000Z,MIL,135,SAS,129,Fiserv Forum
284,2018-11-25T01:30:00.000Z,GSW,117,SAC,116,Oracle Arena
285,2018-11-25T20:30:00.000Z,LAL,104,ORL,108,Staples Center
286,2018-11-25T21:00:00.000Z,DET,118,PHX,107,Little Caesars Arena
287,2018-11-25T23:00:00.000Z,ATL,124,CHA,123,State Farm Arena
288,2018-11-25T23:00:00.000Z,BRO,125,PHI,127,Barclays Center
289,2018-11-25T23:00:00.000Z,TOR,125,MIA,115,Scotiabank Arena
290,2018-11-25T23:00:00.000Z,MEM,98,NYK,103,FedEx Forum
291,2018-11-26T01:00:00.000Z,SAC,112,UTA,133,Golden 1 Center
292,2018-11-26T02:00:00.000Z,POR,100,LAC,104,Moda Center
293,2018-11-27T00:00:00.000Z,CHA,110,MIL,107,Spectrum Center
294,2018-11-27T00:00:00.000Z,CLE,95,MIN,102,Quicken Loans Arena
295,2018-11-27T00:00:00.000Z,WAS,135,HOU,131,Capital One Arena
296,2018-11-27T01:00:00.000Z,CHI,107,SAS,108,United Center
297,2018-11-27T01:00:00.000Z,NOP,107,BOS,124,Smoothie King Center
298,2018-11-27T02:00:00.000Z,UTA,88,IND,121,Vivint Smart Home Arena
299,2018-11-27T03:30:00.000Z,GSW,116,ORL,110,Oracle Arena
300,2018-11-28T00:00:00.000Z,DET,115,NYK,108,Little Caesars Arena
301,2018-11-28T00:30:00.000Z,MIA,113,ATL,115,American Airlines Arena
302,2018-11-28T01:00:00.000Z,MEM,114,TOR,122,FedEx Forum
303,2018-11-28T02:00:00.000Z,DEN,117,LAL,85,Pepsi Center
304,2018-11-28T02:00:00.000Z,PHX,104,IND,109,Talking Stick Resort Arena
305,2018-11-29T00:00:00.000Z,CHA,108,ATL,94,Spectrum Center
306,2018-11-29T00:00:00.000Z,PHI,117,NYK,91,Wells Fargo Center
307,2018-11-29T00:30:00.000Z,BRO,91,UTA,101,Barclays Center
308,2018-11-29T01:00:00.000Z,HOU,108,DAL,128,Toyota Center
309,2018-11-29T01:00:00.000Z,MIL,116,CHI,113,Fiserv Forum
310,2018-11-29T01:00:00.000Z,MIN,128,SAS,89,Target Center
311,2018-11-29T01:00:00.000Z,NOP,125,WAS,104,Smoothie King Center
312,2018-11-29T01:00:00.000Z,OKL,100,CLE,83,Chesapeake Energy Arena
313,2018-11-29T03:00:00.000Z,POR,115,ORL,112,Moda Center
314,2018-11-29T03:30:00.000Z,LAC,115,PHX,99,Staples Center
315,2018-11-30T01:00:00.000Z,TOR,131,GSW,128,Scotiabank Arena
316,2018-11-30T03:30:00.000Z,LAL,104,IND,96,Staples Center
317,2018-11-30T03:30:00.000Z,SAC,121,LAC,133,Golden 1 Center
318,2018-12-01T00:00:00.000Z,BOS,128,CLE,95,TD Garden
319,2018-12-01T00:00:00.000Z,CHA,111,UTA,119,Spectrum Center
320,2018-12-01T00:00:00.000Z,DET,107,CHI,88,Little Caesars Arena
321,2018-12-01T00:00:00.000Z,PHI,123,WAS,98,Wells Fargo Center
322,2018-12-01T00:30:00.000Z,BRO,125,MEM,131,Barclays Center
323,2018-12-01T01:00:00.000Z,MIA,106,NOP,101,American Airlines Arena
324,2018-12-01T01:00:00.000Z,OKL,124,ATL,109,Chesapeake Energy Arena
325,2018-12-01T01:00:00.000Z,SAS,105,HOU,136,AT&T Center
326,2018-12-01T02:00:00.000Z,PHX,85,ORL,99,Talking Stick Resort Arena
327,2018-12-01T03:30:00.000Z,LAL,114,DAL,103,Staples Center
328,2018-12-01T03:30:00.000Z,POR,112,DEN,113,Moda Center
329,2018-12-01T22:00:00.000Z,NYK,136,MIL,134,Madison Square Garden
330,2018-12-02T00:00:00.000Z,DET,111,GSW,102,Little Caesars Arena
331,2018-12-02T00:00:00.000Z,WAS,102,BRO,88,Capital One Arena
332,2018-12-02T01:00:00.000Z,CLE,95,TOR,106,Quicken Loans Arena
333,2018-12-02T01:00:00.000Z,HOU,121,CHI,105,Toyota Center
334,2018-12-02T01:00:00.000Z,MIN,109,BOS,118,Target Center
335,2018-12-02T03:00:00.000Z,SAC,111,IND,110,Golden 1 Center
336,2018-12-02T20:30:00.000Z,LAL,120,PHX,96,Staples Center
337,2018-12-02T22:00:00.000Z,CHA,109,NOP,119,Spectrum Center
338,2018-12-02T23:00:00.000Z,MIA,102,UTA,100,American Airlines Arena
339,2018-12-02T23:00:00.000Z,PHI,103,MEM,95,Wells Fargo Center
340,2018-12-03T00:00:00.000Z,DAL,114,LAC,110,American Airlines Center
341,2018-12-03T00:00:00.000Z,SAS,131,POR,118,AT&T Center
342,2018-12-04T00:00:00.000Z,DET,83,OKL,110,Little Caesars Arena
343,2018-12-04T00:30:00.000Z,ATL,111,GSW,128,State Farm Arena
344,2018-12-04T00:30:00.000Z,BRO,97,CLE,99,Barclays Center
345,2018-12-04T00:30:00.000Z,NYK,107,WAS,110,Madison Square Garden
346,2018-12-04T00:30:00.000Z,TOR,103,DEN,106,Scotiabank Arena
347,2018-12-04T01:00:00.000Z,MIN,103,HOU,91,Target Center
348,2018-12-04T01:00:00.000Z,NOP,126,LAC,129,Smoothie King Center
349,2018-12-05T00:00:00.000Z,IND,96,CHI,90,Bankers Life Fieldhouse
350,2018-12-05T00:30:00.000Z,MIA,90,ORL,105,American Airlines Arena
351,2018-12-05T01:30:00.000Z,DAL,111,POR,102,American Airlines Center
352,2018-12-05T02:00:00.000Z,PHX,105,SAC,122,Talking Stick Resort Arena
353,2018-12-05T02:00:00.000Z,UTA,139,SAS,105,Vivint Smart Home Arena
