Abr,Team Name,Conference,Wins,Losses,Win Pct,FG % (2pt),FG% (3pt),Total FG%,Turnovers Committed,Points Scored,Poinst Against,Points_Diff
MIL,Bucks,East,53,12,0.815,56.6,35.6,47.7,14.4,118.6,107.4,11.199999999999989
TOR,Raptors,East,46,18,0.7190000000000001,52.1,37.1,45.8,13.6,113.0,106.5,6.5
BOS,Celtics,East,43,21,0.672,51.9,36.3,45.9,13.0,113.0,106.7,6.299999999999997
MIA,Heat,East,41,24,0.631,53.0,38.3,46.9,13.9,112.2,108.9,3.299999999999997
IND,Pacers,East,39,26,0.6,52.8,36.3,47.7,12.5,109.3,107.4,1.8999999999999915
PHI,76ers,East,39,26,0.6,52.3,36.2,46.5,13.4,109.6,107.3,2.299999999999997
BRO,Nets,East,30,34,0.469,51.9,34.0,44.4,14.8,110.8,111.4,-0.6000000000000085
ORL,Magic,East,30,35,0.462,49.9,34.1,44.2,12.0,106.4,107.2,-0.7999999999999972
