GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,LEAGUE_ID,TEAM_ID,Conf,MIN_YEAR,MAX_YEAR,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
3/1/2020,21900895,Final,1610612766,1610612749,2019,1610612766,85,0.354,0.9,0.22899999999999998,22,47,1610612749,93,0.402,0.762,0.226,20,61,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
2/25/2020,21900858,Final,1610612761,1610612749,2019,1610612761,97,0.35200000000000004,0.7140000000000001,0.34600000000000003,21,43,1610612749,108,0.381,0.833,0.33299999999999996,23,53,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
2/24/2020,21900851,Final,1610612764,1610612749,2019,1610612764,134,0.48,0.758,0.429,27,41,1610612749,137,0.57,0.815,0.45899999999999996,26,45,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
2/20/2020,21900820,Final,1610612765,1610612749,2019,1610612765,106,0.48200000000000004,0.813,0.35100000000000003,25,46,1610612749,126,0.505,0.815,0.303,24,41,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
2/12/2020,21900810,Final,1610612754,1610612749,2019,1610612754,118,0.523,0.792,0.33299999999999996,28,44,1610612749,111,0.40700000000000003,0.96,0.35100000000000003,18,44,1,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
2/8/2020,21900777,Final,1610612753,1610612749,2019,1610612753,95,0.37799999999999995,0.7859999999999999,0.25,28,46,1610612749,111,0.452,0.75,0.385,26,62,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
2/4/2020,21900751,Final,1610612740,1610612749,2019,1610612740,108,0.384,0.75,0.28600000000000003,26,49,1610612749,120,0.47100000000000003,0.765,0.306,34,53,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1/24/2020,21900669,Final,1610612766,1610612749,2019,1610612766,103,0.37200000000000005,0.833,0.359,24,39,1610612749,116,0.506,0.75,0.278,26,53,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1/18/2020,21900627,Final,1610612751,1610612749,2019,1610612751,97,0.33299999999999996,0.941,0.306,23,47,1610612749,117,0.506,0.625,0.45899999999999996,30,54,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1/11/2020,21900583,Final,1610612757,1610612749,2019,1610612757,101,0.389,0.81,0.278,17,48,1610612749,122,0.456,0.7,0.368,21,60,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1/10/2020,21900575,Final,1610612758,1610612749,2019,1610612758,106,0.45799999999999996,0.8,0.28600000000000003,26,45,1610612749,127,0.495,0.767,0.256,29,52,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1/8/2020,21900562,Final,1610612744,1610612749,2019,1610612744,98,0.379,0.85,0.395,29,52,1610612749,107,0.402,0.875,0.22,22,47,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1/6/2020,21900546,Final,1610612759,1610612749,2019,1610612759,126,0.511,0.895,0.5429999999999999,23,54,1610612749,104,0.4,0.929,0.33299999999999996,24,38,1,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
12/30/2019,21900493,Final,1610612741,1610612749,2019,1610612741,102,0.374,0.625,0.386,26,43,1610612749,123,0.5479999999999999,0.833,0.344,29,59,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
12/27/2019,21900469,Final,1610612737,1610612749,2019,1610612737,86,0.363,0.5710000000000001,0.293,20,46,1610612749,112,0.505,0.6920000000000001,0.39299999999999996,29,56,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
12/25/2019,21900456,Final,1610612755,1610612749,2019,1610612755,121,0.436,0.8,0.47700000000000004,29,49,1610612749,109,0.474,0.75,0.39399999999999996,23,47,1,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
12/21/2019,21900434,Final,1610612752,1610612749,2019,1610612752,102,0.402,0.7140000000000001,0.3,23,47,1610612749,123,0.48200000000000004,0.657,0.419,26,52,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
12/13/2019,21900376,Final,1610612763,1610612749,2019,1610612763,114,0.38799999999999996,0.7829999999999999,0.408,27,45,1610612749,127,0.506,0.848,0.36700000000000005,22,55,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
12/4/2019,21900307,Final,1610612765,1610612749,2019,1610612765,103,0.419,0.636,0.306,25,40,1610612749,127,0.489,0.9259999999999999,0.4,25,55,0,0,1610612749,East,1968,2019,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
3/1/2020,21900896,Final,1610612750,1610612742,2019,1610612750,91,0.364,0.4,0.31,19,57,1610612742,111,0.46799999999999997,0.632,0.275,28,56,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
2/28/2020,21900880,Final,1610612748,1610612742,2019,1610612748,126,0.519,0.75,0.486,30,40,1610612742,118,0.47600000000000003,0.895,0.42,25,35,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
2/26/2020,21900869,Final,1610612759,1610612742,2019,1610612759,103,0.424,0.737,0.33299999999999996,22,55,1610612742,109,0.419,0.667,0.37799999999999995,25,43,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
2/22/2020,21900837,Final,1610612737,1610612742,2019,1610612737,111,0.439,0.654,0.21600000000000003,27,53,1610612742,107,0.449,0.684,0.318,23,48,1,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
2/21/2020,21900826,Final,1610612753,1610612742,2019,1610612753,106,0.39399999999999996,0.789,0.209,21,48,1610612742,122,0.512,0.8079999999999999,0.395,26,50,0,0,1610612742,West,1980,2019,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
