Abr,Team Name,Conference,Wins,Losses,Win Pct,FG % (2pt),FG% (3pt),Total FG%,Turnovers Committed,Points Scored,Poinst Against,Points_Diff
LAL,Lakers,West,49,14,0.778,55.6,35.5,48.5,14.5,114.3,106.9,7.3999999999999915
LAC,Clippers,West,44,20,0.688,52.1,36.6,46.4,14.1,116.2,109.6,6.6000000000000085
DEN,Nuggets,West,43,22,0.662,52.9,35.8,47.1,12.9,110.4,107.4,3.0
UTA,Jazz,West,41,23,0.6409999999999999,53.8,38.3,47.5,14.3,111.0,107.9,3.0999999999999943
OKL,Thunder,West,40,24,0.625,53.6,35.5,47.3,12.7,110.8,108.3,2.5
HOU,Rockets,West,40,24,0.625,55.4,34.8,45.4,14.1,118.1,114.4,3.6999999999999886
DAL,Mavericks,West,40,27,0.597,54.3,36.9,46.2,12.2,116.4,110.4,6.0
MEM,Grizzlies,West,32,33,0.49200000000000005,53.1,35.2,47.0,14.6,112.6,113.7,-1.1000000000000085
